z_m,sigma_Ohm_cm_inv,N_cm3
6.921768771187233e-09,370.9614398137111,2.922709542965112e+19
6.938362706721854e-09,367.95439164737195,2.892048537208802e+19
6.954956642256475e-09,364.9497178621049,2.8614831572813984e+19
6.971550577791095e-09,361.9479059750045,2.8310167705544663e+19
6.988144513325716e-09,358.9494445770249,2.80065274439957e+19
7.004738448860336e-09,355.9548232240585,2.7703944461882794e+19
7.021332384394957e-09,352.96453232912125,2.740245243292158e+19
7.037926319929578e-09,349.97906305571115,2.7102085030827733e+19
7.054520255464198e-09,346.99890721240087,2.680287592931693e+19
7.071114190998819e-09,344.02455714872605,2.6504858802104807e+19
7.087708126533439e-09,341.05650565243377,2.6208067322907062e+19
7.10430206206806e-09,338.0952458481438,2.591253516543932e+19
7.1208959976026805e-09,335.14127109748904,2.561829600341729e+19
7.1374899331373015e-09,332.1950749007847,2.5325383510556586e+19
7.1540838686719225e-09,329.25715080028954,2.503383136057291e+19
7.170677804206543e-09,326.32799228510567,2.4743673227181924e+19
7.187271739741164e-09,323.40809269777805,2.445494278409927e+19
7.203865675275784e-09,320.4979451426396,2.416767370504064e+19
7.220459610810405e-09,317.59804239595553,2.3881899663721673e+19
7.237053546345025e-09,314.7088768179152,2.3597654333858054e+19
7.253647481879646e-09,311.83094026651827,2.3314971389165425e+19
7.270241417414267e-09,308.964724013403,2.303388450335946e+19
7.286835352948887e-09,306.1107186616592,2.2754427350155837e+19
7.303429288483508e-09,303.26941406567033,2.2476633603270197e+19
7.320023224018128e-09,300.4412992530256,2.220053693641823e+19
7.336617159552749e-09,297.6268623485412,2.192617102331557e+19
7.35321109508737e-09,294.82659050043094,2.1653569537677898e+19
7.36980503062199e-09,292.04096980865927,2.1382766153220887e+19
7.386398966156611e-09,289.270485255514,2.111379454366018e+19
7.4029929016912315e-09,286.5156206384316,2.0846688382711472e+19
